id,target
5,0
6,1
8,0
9,0
11,0
15,0
16,0
17,0
21,0
24,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
38,0
42,0
44,0
45,0
48,0
50,0
53,0
54,0
57,0
59,0
62,0
63,0
64,0
65,0
66,0
70,1
71,0
76,0
78,0
79,0
81,0
83,1
85,0
86,1
88,0
89,0
91,1
93,0
94,1
97,1
99,0
102,0
103,0
104,0
107,0
110,1
114,0
119,0
130,1
131,0
132,1
133,0
136,0
139,0
143,0
145,0
146,0
147,0
148,0
149,0
153,0
157,0
160,0
165,0
167,0
170,0
176,1
179,0
180,0
181,0
185,0
187,1
191,1
192,0
193,0
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
206,0
209,0
210,1
211,0
213,1
214,0
216,0
221,0
222,0
223,1
226,0
228,1
229,0
233,0
236,1
239,0
242,0
244,1
247,0
250,0
251,0
253,0
258,0
259,0
260,1
261,1
262,0
263,0
267,0
268,0
269,0
271,0
276,1
283,0
286,0
291,0
292,0
293,0
294,0
295,0
298,0
300,1
302,0
304,1
305,0
307,0
309,1
314,0
315,0
316,0
317,0
319,1
320,0
322,0
331,0
332,0
333,0
334,0
335,0
339,0
340,0
342,0
344,0
345,0
348,0
349,0
351,0
352,0
354,1
357,0
358,0
360,0
362,0
365,0
366,0
367,0
369,0
373,1
375,0
377,1
380,0
384,0
388,0
391,0
397,0
403,0
404,0
405,0
408,0
409,0
410,0
411,1
412,0
414,0
420,0
422,0
425,0
428,0
429,0
431,1
437,0
438,0
441,0
445,0
447,0
448,0
452,0
453,0
459,0
461,0
464,0
465,0
467,0
469,0
470,1
475,1
476,0
483,0
484,0
485,0
488,0
493,1
495,0
498,0
499,0
501,0
505,0
507,0
514,0
519,1
520,1
524,0
527,0
528,0
529,0
530,0
531,0
533,1
536,0
537,0
538,0
540,0
541,0
543,0
544,1
548,0
552,0
555,0
556,1
557,0
558,0
560,0
563,0
567,0
573,0
574,0
576,0
578,0
580,0
581,0
582,0
583,0
584,0
586,0
587,0
591,0
592,1
593,0
595,0
597,0
601,0
603,0
605,0
608,0
611,0
612,0
617,0
619,1
622,0
623,0
624,1
625,0
630,0
632,0
634,0
637,0
638,1
640,0
642,1
644,0
647,0
648,1
649,0
650,0
653,0
655,0
658,0
660,0
664,0
665,0
666,0
667,1
668,0
672,0
674,0
675,1
676,1
677,1
678,0
679,0
680,0
682,0
683,0
686,1
692,0
694,0
695,0
696,0
701,0
707,0
708,1
713,0
715,0
716,0
724,0
726,1
727,0
731,1
736,0
737,0
738,0
740,0
741,0
745,0
746,0
747,0
748,1
749,1
753,0
755,0
758,0
762,1
765,0
770,0
772,0
774,0
776,1
778,0
779,0
781,0
783,1
784,0
785,1
786,0
791,0
796,1
797,0
802,0
807,0
815,0
816,0
818,0
821,0
822,0
828,1
833,1
835,0
836,0
837,0
840,1
843,1
850,0
852,1
856,0
857,0
859,0
861,0
862,0
863,1
864,1
865,0
869,0
872,0
876,0
877,0
878,0
880,1
883,1
888,1
889,0
890,0
894,0
896,0
898,1
903,1
905,0
906,0
907,0
908,0
911,0
914,1
918,0
919,0
920,0
922,0
923,0
924,1
925,0
930,0
931,1
933,0
934,0
936,0
937,0
942,0
944,1
951,0
952,0
953,0
959,0
961,0
962,0
964,0
967,0
968,0
971,0
973,0
975,0
976,0
977,1
982,0
983,0
984,0
985,0
989,0
991,0
994,0
996,1
1000,1
1005,1
1008,0
1009,0
1010,0
1018,0
1019,0
1021,0
1024,1
1025,0
1028,1
1030,0
1031,1
1032,1
1033,0
1034,0
1037,0
1042,0
1045,0
1046,1
1047,0
1048,0
1049,1
1055,0
1061,0
1069,0
1072,0
1073,1
1075,1
1076,1
1086,0
1087,1
1088,0
1089,0
1091,0
1093,0
1094,1
1097,0
1098,1
1102,1
1103,0
1105,1
1108,0
1117,0
1126,0
1136,0
1143,0
1144,0
1145,1
1147,0
1148,0
1151,0
1155,1
1157,0
1158,0
1159,1
1162,0
1164,0
1165,0
1169,0
1171,0
1173,0
1174,1
1175,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1186,0
1189,0
1191,0
1192,0
1193,1
1195,0
1196,0
1197,1
1198,0
1199,1
1202,0
1203,0
1210,0
1211,0
1217,0
1218,0
1220,1
1223,0
1224,0
1225,1
1227,0
1237,0
1238,0
1244,0
1246,0
1249,0
1250,0
1254,1
1257,0
1258,0
1262,0
1269,1
1270,0
1273,0
1274,0
1275,1
1277,0
1278,0
1283,0
1284,1
1286,1
1292,0
1296,0
1300,0
1301,0
1308,0
1312,0
1313,1
1314,0
1316,0
1317,0
1318,1
1321,0
1323,1
1324,0
1326,1
1327,0
1328,1
1329,0
1333,0
1335,0
1341,0
1343,0
1344,0
1349,0
1350,0
1357,1
1360,0
1363,0
1365,0
1367,0
1373,0
1374,0
1378,0
1379,1
1381,0
1386,1
1389,0
1392,0
1393,0
1394,0
1397,0
1400,0
1402,0
1403,0
1405,0
1407,0
1414,1
1417,0
1420,0
1422,0
1423,0
1425,0
1436,0
1443,0
1451,0
1457,1
1460,1
1461,0
1462,0
1466,0
1467,0
1468,1
1469,0
1473,0
1474,0
1476,0
1477,0
1478,0
1479,0
1480,1
1483,0
1484,0
1485,1
1492,0
1498,0
1500,0
1501,0
1503,1
1505,1
1506,0
1508,1
1510,0
1511,1
1513,0
1514,0
1516,1
1519,0
1523,0
1524,0
1533,0
1535,0
1538,0
1541,0
1542,0
1544,0
1545,1
1549,0
1550,0
1551,0
1554,1
1563,0
1571,1
1574,1
1577,0
1579,0
